ID	Description	NES
GO:0019637	organophosphate metabolic process	-1.42835332086463
GO:0001944	vasculature development	-1.77676946802379
GO:0007167	enzyme linked receptor protein signaling pathway	-1.44609551451563
GO:0006082	organic acid metabolic process	-1.50242674721623
GO:0032101	regulation of response to external stimulus	-1.42232029062081
GO:0043436	oxoacid metabolic process	-1.51128807110264
GO:0034097	response to cytokine	-1.53345370521787
GO:0098542	defense response to other organism	-1.46143547617561
GO:0030155	regulation of cell adhesion	-1.49375007252198
GO:0001568	blood vessel development	-1.74204200224585
GO:0002684	positive regulation of immune system process	-1.40349413135808
GO:0019752	carboxylic acid metabolic process	-1.51828040829983
GO:0098655	cation transmembrane transport	-1.4646754748001
GO:0055080	cation homeostasis	-1.38271702889329
GO:0098660	inorganic ion transmembrane transport	-1.53607100105301
GO:0048514	blood vessel morphogenesis	-1.75591121625703
GO:0070848	response to growth factor	-1.44339527540386
GO:0071345	cellular response to cytokine stimulus	-1.53552725016459
GO:0007005	mitochondrion organization	-1.78725765572513
GO:0051272	positive regulation of cellular component movement	-1.60054742264264
GO:0071363	cellular response to growth factor stimulus	-1.46086493379098
GO:0090066	regulation of anatomical structure size	-1.45977066027602
GO:2000147	positive regulation of cell motility	-1.60286078254456
GO:0030335	positive regulation of cell migration	-1.608745067785
GO:0040017	positive regulation of locomotion	-1.57227960105516
GO:0055065	metal ion homeostasis	-1.41792131296578
GO:0044283	small molecule biosynthetic process	-1.45747626432061
GO:0001525	angiogenesis	-1.88622272327543
GO:0098662	inorganic cation transmembrane transport	-1.56304724424105
GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	-1.38505263175889
GO:0045087	innate immune response	-1.54229931210158
GO:0042330	taxis	-1.51593411237349
GO:0006935	chemotaxis	-1.54576281585793
GO:0055086	nucleobase-containing small molecule metabolic process	-1.50966005360055
GO:0006753	nucleoside phosphate metabolic process	-1.51727901651303
GO:0009611	response to wounding	-1.50759275061462
GO:0045785	positive regulation of cell adhesion	-1.59580147838516
GO:0001667	ameboidal-type cell migration	-1.53695655807346
GO:0006091	generation of precursor metabolites and energy	-1.9086726827617
GO:0009117	nucleotide metabolic process	-1.53236037468735
GO:0009259	ribonucleotide metabolic process	-1.58691904500584
GO:0019693	ribose phosphate metabolic process	-1.56304030769316
GO:0006163	purine nucleotide metabolic process	-1.59435204822134
GO:1904062	regulation of cation transmembrane transport	-1.4554844372518
GO:0009150	purine ribonucleotide metabolic process	-1.60725206069804
GO:0050900	leukocyte migration	-1.76166280428917
GO:0032103	positive regulation of response to external stimulus	-1.465525449788
GO:0072521	purine-containing compound metabolic process	-1.59157667798051
GO:0031589	cell-substrate adhesion	-1.60378857781377
GO:0042060	wound healing	-1.6753304379442
GO:0010631	epithelial cell migration	-1.59036206221626
GO:0090130	tissue migration	-1.57890397836151
GO:0090132	epithelium migration	-1.57890397836151
GO:0015980	energy derivation by oxidation of organic compounds	-1.82236722030887
GO:0007178	transmembrane receptor protein serine/threonine kinase signaling pathway	-1.56827428864642
GO:0046034	ATP metabolic process	-2.03790138692772
GO:0045765	regulation of angiogenesis	-1.89842900903413
GO:0072593	reactive oxygen species metabolic process	-1.55377996055252
GO:1901342	regulation of vasculature development	-1.92095908252425
GO:0006066	alcohol metabolic process	-1.53485246292483
GO:0030198	extracellular matrix organization	-1.83395226144467
GO:0043062	extracellular structure organization	-1.83395226144467
GO:0045229	external encapsulating structure organization	-1.83395226144467
GO:0090287	regulation of cellular response to growth factor stimulus	-1.63914598114096
GO:0060326	cell chemotaxis	-1.75292919909413
GO:0006839	mitochondrial transport	-1.69029905268978
GO:0071559	response to transforming growth factor beta	-1.58489424821321
GO:1901293	nucleoside phosphate biosynthetic process	-1.55668999077196
GO:0071560	cellular response to transforming growth factor beta stimulus	-1.56834593074026
GO:0006520	cellular amino acid metabolic process	-1.66142849890532
GO:0043542	endothelial cell migration	-1.81481441961768
GO:0045333	cellular respiration	-2.12620678034483
GO:0030595	leukocyte chemotaxis	-1.79321286024605
GO:0002685	regulation of leukocyte migration	-1.66301786581995
GO:0072522	purine-containing compound biosynthetic process	-1.62757719958198
GO:0045766	positive regulation of angiogenesis	-1.86229007263353
GO:0097529	myeloid leukocyte migration	-1.77308849871556
GO:1904018	positive regulation of vasculature development	-1.86229007263353
GO:0008360	regulation of cell shape	-1.70350240088772
GO:0048660	regulation of smooth muscle cell proliferation	-1.70894473022266
GO:0048659	smooth muscle cell proliferation	-1.64115837407493
GO:0009152	purine ribonucleotide biosynthetic process	-1.63907024284292
GO:0006119	oxidative phosphorylation	-2.11964470530297
GO:0071674	mononuclear cell migration	-1.81903933753667
GO:0140053	mitochondrial gene expression	-2.19961833444906
GO:0002687	positive regulation of leukocyte migration	-1.67098324761811
GO:0009141	nucleoside triphosphate metabolic process	-1.68149758046777
GO:0002040	sprouting angiogenesis	-1.91322775920682
GO:0010811	positive regulation of cell-substrate adhesion	-1.63705157778834
GO:0043534	blood vessel endothelial cell migration	-1.95974294142913
GO:1901605	alpha-amino acid metabolic process	-1.70960219237607
GO:1903034	regulation of response to wounding	-1.78990496449245
GO:0009144	purine nucleoside triphosphate metabolic process	-1.7342377708407
GO:0009132	nucleoside diphosphate metabolic process	-1.71289977161933
GO:0033108	mitochondrial respiratory chain complex assembly	-2.22089760721596
GO:0070585	protein localization to mitochondrion	-1.88347015875991
GO:0022904	respiratory electron transport chain	-1.95175923963418
GO:0009205	purine ribonucleoside triphosphate metabolic process	-1.76017701701487
GO:0043535	regulation of blood vessel endothelial cell migration	-1.73202323935526
GO:1901343	negative regulation of vasculature development	-1.73744163267132
GO:0032543	mitochondrial translation	-2.07463027107844
GO:0022900	electron transport chain	-1.94725308816372
GO:0034341	response to interferon-gamma	-1.75976555702013
GO:0072655	establishment of protein localization to mitochondrion	-1.93197694137019
GO:0009142	nucleoside triphosphate biosynthetic process	-1.71086442061948
GO:0046939	nucleotide phosphorylation	-1.69750343923454
GO:0061041	regulation of wound healing	-1.94028559276416
GO:0006165	nucleoside diphosphate phosphorylation	-1.72010629742471
GO:1990542	mitochondrial transmembrane transport	-1.80697865677515
GO:0006626	protein targeting to mitochondrion	-1.91340688385853
GO:0009201	ribonucleoside triphosphate biosynthetic process	-1.76836668952363
GO:0009206	purine ribonucleoside triphosphate biosynthetic process	-1.80079166947659
GO:0071675	regulation of mononuclear cell migration	-1.75848578946194
GO:0009145	purine nucleoside triphosphate biosynthetic process	-1.77825053282616
GO:0015748	organophosphate ester transport	-1.81723431502817
GO:0042773	ATP synthesis coupled electron transport	-1.96775050769168
GO:0071229	cellular response to acid chemical	-1.75844514091964
GO:0009060	aerobic respiration	-2.14293626668868
GO:0032963	collagen metabolic process	-1.95068659803201
GO:0042775	mitochondrial ATP synthesis coupled electron transport	-1.9647935177198
GO:0010257	NADH dehydrogenase complex assembly	-2.26678368182337
GO:0032981	mitochondrial respiratory chain complex I assembly	-2.26678368182337
GO:0035924	cellular response to vascular endothelial growth factor stimulus	-1.89293326200095
GO:0002042	cell migration involved in sprouting angiogenesis	-1.8926556318795
GO:0050818	regulation of coagulation	-2.13522819715936
GO:1900046	regulation of hemostasis	-2.05252396087466
GO:0043648	dicarboxylic acid metabolic process	-1.76691019369288
GO:0030193	regulation of blood coagulation	-2.06335363284089
GO:0000959	mitochondrial RNA metabolic process	-1.82817182467005
GO:0006099	tricarboxylic acid cycle	-1.85725208854494
GO:0042744	hydrogen peroxide catabolic process	-1.87690395245754
GO:1900120	regulation of receptor binding	-1.83974922039496
GO:0035162	embryonic hemopoiesis	-1.880092561782
GO:0030195	negative regulation of blood coagulation	-2.0452598362872
GO:0050819	negative regulation of coagulation	-2.07731146313846
GO:1900047	negative regulation of hemostasis	-2.00840895425829
GO:0098609	cell-cell adhesion	-1.35793172859289
GO:0050801	ion homeostasis	-1.343069471812
GO:0001816	cytokine production	-1.34260794631909
GO:0098771	inorganic ion homeostasis	-1.36850785664202
GO:1901699	cellular response to nitrogen compound	-1.38012029432801
GO:0006954	inflammatory response	-1.37065395073652
GO:0001817	regulation of cytokine production	-1.37173502534406
GO:0071417	cellular response to organonitrogen compound	-1.41260438119506
GO:0009165	nucleotide biosynthetic process	-1.53394667447957
GO:0007266	Rho protein signal transduction	-1.56599026680518
GO:0000302	response to reactive oxygen species	-1.56761025497344
GO:0006164	purine nucleotide biosynthetic process	-1.60329790622453
GO:0009260	ribonucleotide biosynthetic process	-1.60109685046515
GO:0010594	regulation of endothelial cell migration	-1.62982956553433
GO:0007599	hemostasis	-1.62401853492474
GO:0050817	coagulation	-1.62419368890429
GO:0007596	blood coagulation	-1.59552666454647
GO:0097530	granulocyte migration	-1.60942546997368
GO:0001101	response to acid chemical	-1.67542729756344
GO:0009199	ribonucleoside triphosphate metabolic process	-1.73394757328358
GO:0010595	positive regulation of endothelial cell migration	-1.64858177684051
GO:0009185	ribonucleoside diphosphate metabolic process	-1.65708216847351
GO:0034446	substrate adhesion-dependent cell spreading	-1.59490613446625
GO:2000181	negative regulation of blood vessel morphogenesis	-1.68441013924369
GO:0016525	negative regulation of angiogenesis	-1.70904941276573
GO:0006096	glycolytic process	-1.65295500129868
GO:0006757	ATP generation from ADP	-1.65295500129868
GO:0046031	ADP metabolic process	-1.66337640801053
GO:0006754	ATP biosynthetic process	-1.73219117896769
GO:1903035	negative regulation of response to wounding	-1.73794508913743
GO:0048010	vascular endothelial growth factor receptor signaling pathway	-1.85744766761576
GO:1905521	regulation of macrophage migration	-1.77515210116176
GO:0072577	endothelial cell apoptotic process	-1.81969358340359
GO:2000351	regulation of endothelial cell apoptotic process	-1.81969358340359
GO:0062125	regulation of mitochondrial gene expression	-1.74899849957618
GO:0090303	positive regulation of wound healing	-1.76359328436249
GO:0030150	protein import into mitochondrial matrix	-1.82818532295719
GO:0001881	receptor recycling	-1.75795656890892
GO:0000963	mitochondrial RNA processing	-1.78657905982396
GO:0032495	response to muramyl dipeptide	-1.80219804261723
GO:0034765	regulation of ion transmembrane transport	-1.35541285312937
GO:0036336	dendritic cell migration	-1.80676321575107
GO:0090050	positive regulation of cell migration involved in sprouting angiogenesis	-1.82870746066915
GO:0034762	regulation of transmembrane transport	-1.34411007422678
GO:0007159	leukocyte cell-cell adhesion	-1.44080093216194
GO:0046390	ribose phosphate biosynthetic process	-1.57866518214461
GO:0007179	transforming growth factor beta receptor signaling pathway	-1.55853477252447
GO:0001935	endothelial cell proliferation	-1.57501248567132
