Tissue,GTEX-111FC,GTEX-1128S,GTEX-113JC,GTEX-117XS,GTEX-1192W,GTEX-11DXW,GTEX-11DXY,GTEX-11DYG,GTEX-11EMC,GTEX-11EQ9,GTEX-11GS4,GTEX-11GSO,GTEX-11GSP,GTEX-11H98,GTEX-11NUK,GTEX-11NV4,GTEX-11O72,GTEX-11OC5,GTEX-11OF3,GTEX-11ONC,GTEX-11P82,GTEX-11PRG,GTEX-11TUW,GTEX-11UD2,GTEX-11WQC,GTEX-11WQK,GTEX-11ZTS,GTEX-11ZUS,GTEX-11ZVC,GTEX-12126,GTEX-1212Z,GTEX-1269C,GTEX-12WSC,GTEX-12WSD,GTEX-12WSE,GTEX-12WSH,GTEX-12WSI,GTEX-12WSM,GTEX-12ZZX,GTEX-12ZZY,GTEX-12ZZZ,GTEX-13112,GTEX-1313W,GTEX-131XH,GTEX-131YS,GTEX-132NY,GTEX-1399T,GTEX-139TS,GTEX-139TT,GTEX-139UC,GTEX-139UW,GTEX-13CF2,GTEX-13CIG,GTEX-13CZV,GTEX-13FLV,GTEX-13FLW,GTEX-13FTY,GTEX-13FTZ,GTEX-13FXS,GTEX-13G51,GTEX-13JVG,GTEX-13N2G,GTEX-13NYB,GTEX-13NYC,GTEX-13NZA,GTEX-13O1R,GTEX-13O3Q,GTEX-13OVH,GTEX-13OVJ,GTEX-13OVL,GTEX-13OW6,GTEX-13OW7,GTEX-13OW8,GTEX-13PLJ,GTEX-13PVQ,GTEX-13QIC,GTEX-13QJC,GTEX-13S7M,GTEX-13SLW,GTEX-13SLX,GTEX-13VXU,GTEX-13X6J,GTEX-144FL,GTEX-144GL,GTEX-145LU,GTEX-145MF,GTEX-145MG,GTEX-145MH,GTEX-145MI,GTEX-147F4,GTEX-147GR,GTEX-147JS,GTEX-148VJ,GTEX-14A5H,GTEX-14ABY,GTEX-14ASI,GTEX-14BIL,GTEX-14BIN,GTEX-14BMV,GTEX-14C39,GTEX-14E6D,GTEX-14E7W,GTEX-14JG1,GTEX-14JIY,GTEX-14PJM,GTEX-14PN4,GTEX-15CHS,GTEX-15D1Q,GTEX-15D79,GTEX-15DCD,GTEX-15DYW,GTEX-15ER7,GTEX-15G19,GTEX-15SHU,GTEX-15SZO,GTEX-16GPK,GTEX-16YQH,GTEX-16Z82,GTEX-17EVP,GTEX-17EVQ,GTEX-17HG3,GTEX-17HHY,GTEX-17HII,GTEX-17MF6,GTEX-18465,GTEX-18A6Q,GTEX-18A7A,GTEX-1A32A,GTEX-1A8FM,GTEX-1A8G6,GTEX-1A8G7,GTEX-1AX9I,GTEX-1B8L1,GTEX-1B8SF,GTEX-1B8SG,GTEX-1B933,GTEX-1B98T,GTEX-1B996,GTEX-1BAJH,GTEX-1C64N,GTEX-1C6VQ,GTEX-1C6VR,GTEX-1C6VS,GTEX-1C6WA,GTEX-1CAMQ,GTEX-1CAV2,GTEX-1CB4G,GTEX-1E1VI,GTEX-1E2YA,GTEX-1EKGG,GTEX-1EMGI,GTEX-1EN7A,GTEX-1EU9M,GTEX-1EWIQ,GTEX-1EX96,GTEX-1F6I4,GTEX-1F6IF,GTEX-1F75A,GTEX-1F75W,GTEX-1F7RK,GTEX-1F88F,GTEX-1GF9V,GTEX-1GMRU,GTEX-1GN1V,GTEX-1GN2E,GTEX-1GN73,GTEX-1GPI6,GTEX-1GTWX,GTEX-1GZ2Q,GTEX-1GZ4I,GTEX-1GZHY,GTEX-1H1CY,GTEX-1H1DF,GTEX-1H3O1,GTEX-1H4P4,GTEX-1HB9E,GTEX-1HBPI,GTEX-1HCU6,GTEX-1HCU8,GTEX-1HFI6,GTEX-1HGF4,GTEX-1HSKV,GTEX-1HT8W,GTEX-1I1GP,GTEX-1I1GQ,GTEX-1I1GR,GTEX-1I1GV,GTEX-1IDJH,GTEX-1IKJJ,GTEX-1IKK5,GTEX-1IKOH,GTEX-1IL2U,GTEX-1IL2V,GTEX-1IOXB,GTEX-1IY9M,GTEX-1J8EW,GTEX-1J8JJ,GTEX-1JJEA,GTEX-1JMLX,GTEX-1JMQJ,GTEX-1KANB,GTEX-1KD4Q,GTEX-1KD5A,GTEX-1KWVE,GTEX-1LB8K,GTEX-1LG7Y,GTEX-1LSNL,GTEX-1LVA9,GTEX-1M4P7,GTEX-1MA7X,GTEX-1MJK2,GTEX-1N2DW,GTEX-1N2EE,GTEX-1N5O9,GTEX-1NV8Z,GTEX-1OJC4,GTEX-1PBJI,GTEX-1POEN,GTEX-1PPGY,GTEX-1PPH6,GTEX-1QMI2,GTEX-1QP6S,GTEX-1RQEC,GTEX-N7MS,GTEX-NL3G,GTEX-PVOW,GTEX-Q2AG,GTEX-QEG4,GTEX-QXCU,GTEX-R55E,GTEX-RN64,GTEX-RNOR,GTEX-RU72,GTEX-RVPU,GTEX-RWSA,GTEX-S33H,GTEX-S3LF,GTEX-S7SE,GTEX-SIU8,GTEX-SJXC,GTEX-SN8G,GTEX-T2IS,GTEX-T5JC,GTEX-T6MN,GTEX-UPJH,GTEX-VJWN,GTEX-WK11,GTEX-WL46,GTEX-WRHU,GTEX-WVLH,GTEX-WZTO,GTEX-XBEC,GTEX-XOT4,GTEX-XOTO,GTEX-XQ3S,GTEX-Y111,GTEX-Y8DK,GTEX-YFC4,GTEX-YJ89,GTEX-YJ8O,GTEX-Z93S,GTEX-ZAK1,GTEX-ZDTS,GTEX-ZDXO,GTEX-ZE7O,GTEX-ZE9C,GTEX-ZU9S,GTEX-ZUA1,GTEX-ZV68,GTEX-ZVT3,GTEX-ZVTK,GTEX-ZVZQ,GTEX-ZYFC,GTEX-ZYT6
Adipose - Subcutaneous,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
Adrenal Gland,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Artery - Tibial,1,1,0,0,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,1,1
Bladder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brain - Cerebellum,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0
Breast - Mammary Tissue,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,1,1
Cervix - Ectocervix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colon - Sigmoid,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1
Esophagus - Mucosa,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1
Heart - Atrial Appendage,1,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1
Kidney - Cortex,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
